received,host,jitter,packet_loss,avgping,minping,time,sent,maxping
1,192.168.123.2,0.000,0,67.962,67.962,20:21:24,1,67.962
1,192.168.123.2,0.000,0,0.125,0.125,20:21:25,1,0.125
1,192.168.123.2,0.000,0,0.033,0.033,20:21:26,1,0.033
1,192.168.123.2,0.000,0,0.029,0.029,20:21:27,1,0.029
1,192.168.123.2,0.000,0,0.034,0.034,20:21:28,1,0.034
1,192.168.123.2,0.000,0,0.031,0.031,20:21:29,1,0.031
1,192.168.123.2,0.000,0,0.031,0.031,20:21:30,1,0.031
1,192.168.123.2,0.000,0,0.031,0.031,20:21:31,1,0.031
1,192.168.123.2,0.000,0,0.034,0.034,20:21:32,1,0.034
1,192.168.123.2,0.000,0,0.030,0.030,20:21:33,1,0.030
1,192.168.123.2,0.000,0,0.033,0.033,20:21:34,1,0.033
1,192.168.123.2,0.000,0,0.032,0.032,20:21:35,1,0.032
1,192.168.123.2,0.000,0,0.030,0.030,20:21:36,1,0.030
