received,host,jitter,packet_loss,avgping,minping,time,sent,maxping
1,192.168.123.2,0.000,0,19.216,19.216,15:2:8,1,19.216
1,192.168.123.2,0.000,0,0.032,0.032,15:2:9,1,0.032
1,192.168.123.2,0.000,0,0.037,0.037,15:2:10,1,0.037
1,192.168.123.2,0.000,0,0.033,0.033,15:2:11,1,0.033
1,192.168.123.2,0.000,0,0.038,0.038,15:2:12,1,0.038
1,192.168.123.2,0.000,0,0.029,0.029,15:2:13,1,0.029
1,192.168.123.2,0.000,0,0.034,0.034,15:2:14,1,0.034
1,192.168.123.2,0.000,0,0.035,0.035,15:2:15,1,0.035
1,192.168.123.2,0.000,0,0.035,0.035,15:2:16,1,0.035
1,192.168.123.2,0.000,0,0.034,0.034,15:2:18,1,0.034
1,192.168.123.2,0.000,0,0.035,0.035,15:2:19,1,0.035
1,192.168.123.2,0.000,0,0.035,0.035,15:2:20,1,0.035
1,192.168.123.2,0.000,0,0.033,0.033,15:2:21,1,0.033
1,192.168.123.2,0.000,0,0.035,0.035,15:2:22,1,0.035
1,192.168.123.2,0.000,0,0.033,0.033,15:2:23,1,0.033
1,192.168.123.2,0.000,0,0.033,0.033,15:2:24,1,0.033
1,192.168.123.2,0.000,0,0.037,0.037,15:2:25,1,0.037
1,192.168.123.2,0.000,0,0.033,0.033,15:2:26,1,0.033
1,192.168.123.2,0.000,0,0.032,0.032,15:2:27,1,0.032
1,192.168.123.2,0.000,0,0.033,0.033,15:2:28,1,0.033
1,192.168.123.2,0.000,0,0.031,0.031,15:2:29,1,0.031
1,192.168.123.2,0.000,0,0.048,0.048,15:2:30,1,0.048
1,192.168.123.2,0.000,0,0.035,0.035,15:2:31,1,0.035
1,192.168.123.2,0.000,0,0.037,0.037,15:2:32,1,0.037
1,192.168.123.2,0.000,0,0.033,0.033,15:2:33,1,0.033
1,192.168.123.2,0.000,0,0.051,0.051,15:2:34,1,0.051
1,192.168.123.2,0.000,0,0.033,0.033,15:2:35,1,0.033
1,192.168.123.2,0.000,0,0.038,0.038,15:2:36,1,0.038
1,192.168.123.2,0.000,0,0.036,0.036,15:2:37,1,0.036
1,192.168.123.2,0.000,0,0.037,0.037,15:2:38,1,0.037
1,192.168.123.2,0.000,0,0.035,0.035,15:2:39,1,0.035
1,192.168.123.2,0.000,0,0.033,0.033,15:2:40,1,0.033
1,192.168.123.2,0.000,0,0.032,0.032,15:2:41,1,0.032
1,192.168.123.2,0.000,0,0.033,0.033,15:2:42,1,0.033
1,192.168.123.2,0.000,0,0.043,0.043,15:2:43,1,0.043
1,192.168.123.2,0.000,0,0.036,0.036,15:2:44,1,0.036
1,192.168.123.2,0.000,0,0.035,0.035,15:2:45,1,0.035
1,192.168.123.2,0.000,0,0.038,0.038,15:2:46,1,0.038
1,192.168.123.2,0.000,0,0.033,0.033,15:2:47,1,0.033
1,192.168.123.2,0.000,0,0.033,0.033,15:2:48,1,0.033
1,192.168.123.2,0.000,0,0.036,0.036,15:2:49,1,0.036
1,192.168.123.2,0.000,0,0.032,0.032,15:2:50,1,0.032
1,192.168.123.2,0.000,0,0.036,0.036,15:2:51,1,0.036
1,192.168.123.2,0.000,0,0.034,0.034,15:2:52,1,0.034
1,192.168.123.2,0.000,0,0.034,0.034,15:2:53,1,0.034
1,192.168.123.2,0.000,0,0.035,0.035,15:2:54,1,0.035
1,192.168.123.2,0.000,0,0.039,0.039,15:2:55,1,0.039
1,192.168.123.2,0.000,0,0.038,0.038,15:2:56,1,0.038
1,192.168.123.2,0.000,0,0.034,0.034,15:2:57,1,0.034
1,192.168.123.2,0.000,0,0.035,0.035,15:2:58,1,0.035
1,192.168.123.2,0.000,0,0.038,0.038,15:2:59,1,0.038
1,192.168.123.2,0.000,0,0.036,0.036,15:3:0,1,0.036
1,192.168.123.2,0.000,0,0.035,0.035,15:3:1,1,0.035
1,192.168.123.2,0.000,0,0.034,0.034,15:3:2,1,0.034
1,192.168.123.2,0.000,0,0.033,0.033,15:3:3,1,0.033
1,192.168.123.2,0.000,0,0.033,0.033,15:3:4,1,0.033
1,192.168.123.2,0.000,0,0.034,0.034,15:3:5,1,0.034
1,192.168.123.2,0.000,0,0.036,0.036,15:3:6,1,0.036
1,192.168.123.2,0.000,0,0.034,0.034,15:3:7,1,0.034
1,192.168.123.2,0.000,0,0.034,0.034,15:3:8,1,0.034
1,192.168.123.2,0.000,0,0.033,0.033,15:3:9,1,0.033
1,192.168.123.2,0.000,0,0.138,0.138,15:3:10,1,0.138
1,192.168.123.2,0.000,0,0.034,0.034,15:3:11,1,0.034
1,192.168.123.2,0.000,0,0.032,0.032,15:3:12,1,0.032
1,192.168.123.2,0.000,0,0.033,0.033,15:3:13,1,0.033
1,192.168.123.2,0.000,0,0.034,0.034,15:3:14,1,0.034
1,192.168.123.2,0.000,0,0.038,0.038,15:3:15,1,0.038
1,192.168.123.2,0.000,0,0.035,0.035,15:3:16,1,0.035
1,192.168.123.2,0.000,0,0.034,0.034,15:3:17,1,0.034
1,192.168.123.2,0.000,0,0.033,0.033,15:3:18,1,0.033
1,192.168.123.2,0.000,0,0.036,0.036,15:3:19,1,0.036
1,192.168.123.2,0.000,0,0.033,0.033,15:3:20,1,0.033
1,192.168.123.2,0.000,0,0.078,0.078,15:3:21,1,0.078
1,192.168.123.2,0.000,0,0.036,0.036,15:3:22,1,0.036
1,192.168.123.2,0.000,0,0.036,0.036,15:3:23,1,0.036
1,192.168.123.2,0.000,0,0.035,0.035,15:3:24,1,0.035
1,192.168.123.2,0.000,0,0.037,0.037,15:3:25,1,0.037
1,192.168.123.2,0.000,0,0.035,0.035,15:3:26,1,0.035
1,192.168.123.2,0.000,0,0.031,0.031,15:3:27,1,0.031
1,192.168.123.2,0.000,0,0.037,0.037,15:3:28,1,0.037
1,192.168.123.2,0.000,0,0.034,0.034,15:3:29,1,0.034
1,192.168.123.2,0.000,0,0.034,0.034,15:3:30,1,0.034
1,192.168.123.2,0.000,0,0.032,0.032,15:3:31,1,0.032
1,192.168.123.2,0.000,0,0.034,0.034,15:3:32,1,0.034
1,192.168.123.2,0.000,0,0.041,0.041,15:3:33,1,0.041
1,192.168.123.2,0.000,0,0.033,0.033,15:3:34,1,0.033
1,192.168.123.2,0.000,0,0.033,0.033,15:3:35,1,0.033
1,192.168.123.2,0.000,0,0.038,0.038,15:3:36,1,0.038
1,192.168.123.2,0.000,0,0.034,0.034,15:3:37,1,0.034
1,192.168.123.2,0.000,0,0.039,0.039,15:3:38,1,0.039
1,192.168.123.2,0.000,0,0.035,0.035,15:3:39,1,0.035
1,192.168.123.2,0.000,0,0.037,0.037,15:3:40,1,0.037
1,192.168.123.2,0.000,0,0.037,0.037,15:3:41,1,0.037
1,192.168.123.2,0.000,0,0.032,0.032,15:3:42,1,0.032
1,192.168.123.2,0.000,0,0.034,0.034,15:3:43,1,0.034
1,192.168.123.2,0.000,0,0.037,0.037,15:3:44,1,0.037
1,192.168.123.2,0.000,0,0.032,0.032,15:3:45,1,0.032
1,192.168.123.2,0.000,0,0.035,0.035,15:3:46,1,0.035
1,192.168.123.2,0.000,0,0.053,0.053,15:3:47,1,0.053
1,192.168.123.2,0.000,0,0.035,0.035,15:3:49,1,0.035
1,192.168.123.2,0.000,0,0.035,0.035,15:3:50,1,0.035
1,192.168.123.2,0.000,0,0.034,0.034,15:3:51,1,0.034
1,192.168.123.2,0.000,0,0.034,0.034,15:3:52,1,0.034
1,192.168.123.2,0.000,0,0.034,0.034,15:3:53,1,0.034
1,192.168.123.2,0.000,0,0.033,0.033,15:3:54,1,0.033
1,192.168.123.2,0.000,0,0.034,0.034,15:3:55,1,0.034
1,192.168.123.2,0.000,0,0.038,0.038,15:3:56,1,0.038
1,192.168.123.2,0.000,0,0.093,0.093,15:3:57,1,0.093
1,192.168.123.2,0.000,0,0.039,0.039,15:3:58,1,0.039
1,192.168.123.2,0.000,0,0.032,0.032,15:3:59,1,0.032
1,192.168.123.2,0.000,0,0.033,0.033,15:4:0,1,0.033
1,192.168.123.2,0.000,0,0.037,0.037,15:4:1,1,0.037
1,192.168.123.2,0.000,0,0.038,0.038,15:4:2,1,0.038
1,192.168.123.2,0.000,0,0.033,0.033,15:4:3,1,0.033
1,192.168.123.2,0.000,0,0.035,0.035,15:4:4,1,0.035
1,192.168.123.2,0.000,0,0.041,0.041,15:4:5,1,0.041
1,192.168.123.2,0.000,0,0.041,0.041,15:4:6,1,0.041
1,192.168.123.2,0.000,0,0.035,0.035,15:4:7,1,0.035
1,192.168.123.2,0.000,0,0.036,0.036,15:4:8,1,0.036
1,192.168.123.2,0.000,0,0.033,0.033,15:4:9,1,0.033
1,192.168.123.2,0.000,0,0.033,0.033,15:4:10,1,0.033
1,192.168.123.2,0.000,0,0.032,0.032,15:4:11,1,0.032
1,192.168.123.2,0.000,0,0.039,0.039,15:4:12,1,0.039
1,192.168.123.2,0.000,0,0.050,0.050,15:4:13,1,0.050
1,192.168.123.2,0.000,0,0.039,0.039,15:4:14,1,0.039
1,192.168.123.2,0.000,0,0.035,0.035,15:4:15,1,0.035
1,192.168.123.2,0.000,0,0.039,0.039,15:4:16,1,0.039
1,192.168.123.2,0.000,0,0.033,0.033,15:4:17,1,0.033
1,192.168.123.2,0.000,0,0.055,0.055,15:4:18,1,0.055
1,192.168.123.2,0.000,0,0.033,0.033,15:4:19,1,0.033
1,192.168.123.2,0.000,0,0.033,0.033,15:4:20,1,0.033
1,192.168.123.2,0.000,0,0.037,0.037,15:4:21,1,0.037
1,192.168.123.2,0.000,0,0.038,0.038,15:4:22,1,0.038
1,192.168.123.2,0.000,0,0.037,0.037,15:4:23,1,0.037
1,192.168.123.2,0.000,0,0.035,0.035,15:4:24,1,0.035
1,192.168.123.2,0.000,0,0.043,0.043,15:4:25,1,0.043
1,192.168.123.2,0.000,0,0.032,0.032,15:4:26,1,0.032
1,192.168.123.2,0.000,0,0.033,0.033,15:4:27,1,0.033
1,192.168.123.2,0.000,0,0.031,0.031,15:4:28,1,0.031
1,192.168.123.2,0.000,0,0.035,0.035,15:4:29,1,0.035
1,192.168.123.2,0.000,0,0.033,0.033,15:4:30,1,0.033
1,192.168.123.2,0.000,0,0.034,0.034,15:4:31,1,0.034
1,192.168.123.2,0.000,0,0.037,0.037,15:4:32,1,0.037
1,192.168.123.2,0.000,0,0.079,0.079,15:4:33,1,0.079
1,192.168.123.2,0.000,0,0.033,0.033,15:4:34,1,0.033
1,192.168.123.2,0.000,0,0.034,0.034,15:4:35,1,0.034
1,192.168.123.2,0.000,0,0.033,0.033,15:4:36,1,0.033
1,192.168.123.2,0.000,0,0.056,0.056,15:4:37,1,0.056
1,192.168.123.2,0.000,0,0.060,0.060,15:4:38,1,0.060
1,192.168.123.2,0.000,0,0.059,0.059,15:4:39,1,0.059
1,192.168.123.2,0.000,0,0.045,0.045,15:4:40,1,0.045
1,192.168.123.2,0.000,0,0.050,0.050,15:4:41,1,0.050
1,192.168.123.2,0.000,0,0.046,0.046,15:4:42,1,0.046
1,192.168.123.2,0.000,0,0.055,0.055,15:4:43,1,0.055
1,192.168.123.2,0.000,0,0.066,0.066,15:4:44,1,0.066
1,192.168.123.2,0.000,0,0.042,0.042,15:4:45,1,0.042
1,192.168.123.2,0.000,0,0.049,0.049,15:4:46,1,0.049
1,192.168.123.2,0.000,0,0.044,0.044,15:4:47,1,0.044
1,192.168.123.2,0.000,0,0.160,0.160,15:4:48,1,0.160
1,192.168.123.2,0.000,0,0.059,0.059,15:4:49,1,0.059
1,192.168.123.2,0.000,0,0.049,0.049,15:4:50,1,0.049
1,192.168.123.2,0.000,0,0.069,0.069,15:4:51,1,0.069
1,192.168.123.2,0.000,0,0.041,0.041,15:4:52,1,0.041
1,192.168.123.2,0.000,0,0.038,0.038,15:4:53,1,0.038
1,192.168.123.2,0.000,0,0.047,0.047,15:4:54,1,0.047
1,192.168.123.2,0.000,0,0.044,0.044,15:4:55,1,0.044
1,192.168.123.2,0.000,0,0.048,0.048,15:4:56,1,0.048
1,192.168.123.2,0.000,0,0.043,0.043,15:4:57,1,0.043
1,192.168.123.2,0.000,0,0.038,0.038,15:4:58,1,0.038
1,192.168.123.2,0.000,0,0.037,0.037,15:4:59,1,0.037
1,192.168.123.2,0.000,0,0.034,0.034,15:5:0,1,0.034
1,192.168.123.2,0.000,0,0.033,0.033,15:5:1,1,0.033
1,192.168.123.2,0.000,0,0.033,0.033,15:5:2,1,0.033
1,192.168.123.2,0.000,0,0.032,0.032,15:5:3,1,0.032
1,192.168.123.2,0.000,0,0.034,0.034,15:5:4,1,0.034
